descuento_1,descuento_2,campo_vacio_1,producto,campo_vacio_2,campo_vacio_3,precio_sin_descuento,precio,precio_por_k,link,imagen,fecha_scrapeo
-20%,-20%,,Mostaza Original Doypack Savora 250 Gr.,,,$ 1.39520%,$ 1.120,Agregar,Precio por 1 Kg $ 5.580,https://ardiaprod.vtexassets.com/arquivos/ids/308180-500-auto?v=638599340040130000&width=500&height=auto&aspect=true,2025-08-30
-6%,-6%,,Harina Leudante Vitamina D Pureza 1 Kg.,,,$ 1.6506%,$ 1.550,Agregar,Precio por 1 Kg $ 1.650,https://ardiaprod.vtexassets.com/arquivos/ids/353405-500-auto?v=638877702088330000&width=500&height=auto&aspect=true,2025-08-30
-7%,-7%,,"Aceite de Girasol Cañuelas 1,5 Lt.",,,$ 4.5207%,$ 4.220,Agregar,"Precio por 1 LT $ 3.013,33",https://ardiaprod.vtexassets.com/arquivos/ids/339798-500-auto?v=638884385647800000&width=500&height=auto&aspect=true,2025-08-30
-24%,-24%,,Caramelo Conft Acido Sugus 50 Gr.,,,$ 1.70024%,$ 1.290,Agregar,Precio por 1 Kg $ 34.000,https://ardiaprod.vtexassets.com/arquivos/ids/355885-500-auto?v=638903296912000000&width=500&height=auto&aspect=true,2025-08-30
-25%,-25%,,Mayonesa Hellmanns Liviana Doypack 475 Gr.,,,$ 2.50025%,$ 1.870,Agregar,"Precio por 1 Kg $ 5.263,16",https://ardiaprod.vtexassets.com/arquivos/ids/348579-500-auto?v=638794440580770000&width=500&height=auto&aspect=true,2025-08-30
-38%,-38%,,Fideos Knorr Spaghetti 500 Gr.,,,$ 1.60538%,$ 990,Agregar,Precio por 1 Kg $ 3.210,https://ardiaprod.vtexassets.com/arquivos/ids/321948-500-auto?v=638786847455400000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Pan Rallado Mamá Cocina 500 Gr.,,,$ 1.36535%,$ 885,Agregar,Precio por 1 Kg $ 2.730,https://ardiaprod.vtexassets.com/arquivos/ids/343100-500-auto?v=638726177535030000&width=500&height=auto&aspect=true,2025-08-30
-7%,-7%,,Harina 0000 Pureza Ultra Refinada 1 Kg.,,,$ 1.4007%,$ 1.300,Agregar,Precio por 1 Kg $ 1.400,https://ardiaprod.vtexassets.com/arquivos/ids/313482-500-auto?v=638599414991800000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Papas Fritas Lays Clásicas X 85 Gr.,,,$ 3.00035%,$ 1.950,Agregar,"Precio por 1 Kg $ 35.294,12",https://ardiaprod.vtexassets.com/arquivos/ids/313899-500-auto?v=638599420342730000&width=500&height=auto&aspect=true,2025-08-30
-42%,-42%,,Tableta Chocolate Con Leche Y Maní Bonafide 90 Gr.,,,$ 2.77042%,$ 1.600,Agregar,"Precio por 1 Kg $ 30.777,78",https://ardiaprod.vtexassets.com/arquivos/ids/352721-500-auto?v=638863555823430000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Chupetin Cocopop Fun Candy 12 Gr.,,,$ 2.99015%,$ 2.550,Agregar,"Precio por 100 Gr $ 24.916,67",https://ardiaprod.vtexassets.com/arquivos/ids/355850-500-auto?v=638903296421270000&width=500&height=auto&aspect=true,2025-08-30
-12%,-12%,,Chupetin Varios Sabores Fun Pop 15 Gr.,,,$ 2.50012%,$ 2.190,Agregar,"Precio por 100 Gr $ 16.666,67",https://ardiaprod.vtexassets.com/arquivos/ids/355849-500-auto?v=638903296406370000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Vinagre de Alcohol Dia 1 Lt.,,,$ 1.04515%,$ 890,Agregar,Precio por 1 LT $ 1.045,https://ardiaprod.vtexassets.com/arquivos/ids/350501-500-auto?v=638824672218670000&width=500&height=auto&aspect=true,2025-08-30
,,,Turrón Arcor con Maní 25 Gr.,,,2 x $450,$ 380,Agregar,Precio por 10 Gr $ 152,https://ardiaprod.vtexassets.com/arquivos/ids/307587-500-auto?v=638599332120700000&width=500&height=auto&aspect=true,2025-08-30
-38%,-38%,,Fideos Knorr Tallarines 500 Gr.,,,$ 1.60538%,$ 990,Agregar,Precio por 1 Kg $ 3.210,https://ardiaprod.vtexassets.com/arquivos/ids/321945-500-auto?v=638786847365600000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Con Almendras Nestle 25 Gr.,,,2 x $1900,$ 1.450,Agregar,,https://ardiaprod.vtexassets.com/arquivos/ids/355880-500-auto?v=638903296835900000&width=500&height=auto&aspect=true,2025-08-30
,,,Tubitos Extreme Tutti Frutti Mogul 15 Gr.,,,2 x $900,$ 540,Agregar,Precio por 10 Gr $ 360,https://ardiaprod.vtexassets.com/arquivos/ids/355883-500-auto?v=638903296881630000&width=500&height=auto&aspect=true,2025-08-30
,,,Tubitos Extreme Frut Mogul 15 Gr.,,,2 x $900,$ 540,Agregar,,https://ardiaprod.vtexassets.com/arquivos/ids/355884-500-auto?v=638903296896370000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Brownie 9 De Oro 45 Gr.,,,2 x $1200,$ 950,Agregar,"Precio por 10 Gr $ 211,11",https://ardiaprod.vtexassets.com/arquivos/ids/354232-500-auto?v=638881703286270000&width=500&height=auto&aspect=true,2025-08-30
,,,Choolate Semi Amargo Nestle 25 Gr.,,,2 x $2100,$ 1.590,Agregar,,https://ardiaprod.vtexassets.com/arquivos/ids/355879-500-auto?v=638903296821300000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Papas Fritas Panceta Lays 77 Gr.,,,$ 3.20035%,$ 2.080,Agregar,"Precio por 1 Kg $ 41.558,44",https://ardiaprod.vtexassets.com/arquivos/ids/352889-500-auto?v=638865280526830000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Papas Fritas Barbacoa Lays 77 Gr.,,,$ 3.20035%,$ 2.080,Agregar,"Precio por 1 Kg $ 41.558,44",https://ardiaprod.vtexassets.com/arquivos/ids/352887-500-auto?v=638865280496370000&width=500&height=auto&aspect=true,2025-08-30
-50%,-50%,,Filet De Merluza Al Natural Terre & Ocean 160 Gr.,,,$ 2.30050%,$ 1.150,Agregar,Precio por 1 Kg $ 14.375,https://ardiaprod.vtexassets.com/arquivos/ids/342258-500-auto?v=638708915809400000&width=500&height=auto&aspect=true,2025-08-30
-46%,-46%,,Fideos Spaghetti Bonativa 500 Gr.,,,$ 1.45546%,$ 790,Agregar,Precio por 1 Kg $ 2.910,https://ardiaprod.vtexassets.com/arquivos/ids/306919-500-auto?v=638599323458770000&width=500&height=auto&aspect=true,2025-08-30
,,,Fideos Codito Dia 500 Gr.,,,2x1,$ 1.180,Agregar,Precio por 1 Kg $ 2.360,https://ardiaprod.vtexassets.com/arquivos/ids/341827-500-auto?v=638708910697930000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Papas Fritas Sabor A Queso Y Cebolla Lays X 77 Gr.,,,$ 3.20035%,$ 2.080,Agregar,"Precio por 1 Kg $ 41.558,44",https://ardiaprod.vtexassets.com/arquivos/ids/315539-500-auto?v=638599443440500000&width=500&height=auto&aspect=true,2025-08-30
-36%,-36%,,Minitorta Baño Semiamargo Chocman 68 Gr.,,,$ 1.40036%,$ 900,Agregar,"Precio por 1 Kg $ 20.588,24",https://ardiaprod.vtexassets.com/arquivos/ids/352610-500-auto?v=638858372351270000&width=500&height=auto&aspect=true,2025-08-30
-33%,-33%,,Oblea Kitkat Triple Chocolate X 41.5 Gr.,,,$ 1.98033%,$ 1.320,Agregar,"Precio por 10 Gr $ 477,11",https://ardiaprod.vtexassets.com/arquivos/ids/353862-500-auto?v=638871336862000000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Pan De Ajo Tradicional Noly 300 Gr.,,,$ 4.90020%,$ 3.900,Agregar,Precio por 1 Kg $ 13.000,https://ardiaprod.vtexassets.com/arquivos/ids/352983-500-auto?v=638869610542500000&width=500&height=auto&aspect=true,2025-08-30
