categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,chocolates,,AGUILA,Barra de Chocolate Águila 14 Gr.,,"$160,00",,11.43GR,https://diaonline.supermercadosdia.com.ar/barra-de-chocolate-aguila-14-gr-249255/p,https://ardiaprod.vtexassets.com/arquivos/ids/271333-500-auto?v=638322519170430000&width=500&height=auto&aspect=true
almacen,chocolates,,MILKA,Chocolate con Leche Milka 150 Gr.,,"$4.940,00",,32933.33KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-leche-milka-150-gr-222262/p,https://ardiaprod.vtexassets.com/arquivos/ids/294134-500-auto?v=638458626380530000&width=500&height=auto&aspect=true
almacen,chocolates,,TIC TAC,Tic Tac Menta 16 Gr.,,"$420,00",,26250.00KG,https://diaonline.supermercadosdia.com.ar/tic-tac-menta-16-gr-72755/p,https://ardiaprod.vtexassets.com/arquivos/ids/264463-500-auto?v=638322424077400000&width=500&height=auto&aspect=true
almacen,chocolates,,KINDER,Huevo de Chocolate Kinder Rosa 20 Gr.,,"$1.480,00",,74000.00KG,https://diaonline.supermercadosdia.com.ar/huevo-de-chocolate-kinder-rosa-20-gr-162299/p,https://ardiaprod.vtexassets.com/arquivos/ids/267210-500-auto?v=638322461633800000&width=500&height=auto&aspect=true
almacen,chocolates,,KINDER,Chocolate Bueno Kinder 43 Gr.,,"$1.740,00",,40465.12KG,https://diaonline.supermercadosdia.com.ar/chocolate-bueno-kinder-43-gr-37004/p,https://ardiaprod.vtexassets.com/arquivos/ids/263556-500-auto?v=638322410244500000&width=500&height=auto&aspect=true
almacen,chocolates,,KINDER,Chocolate Kinder 4 barras 50 Gr.,,"$1.320,00",,26400.00KG,https://diaonline.supermercadosdia.com.ar/chocolate-kinder-4-barras-50-gr-63129/p,https://ardiaprod.vtexassets.com/arquivos/ids/299023-500-auto?v=638503265147100000&width=500&height=auto&aspect=true
almacen,chocolates,,DIA,Chocolate DIA Relleno con Dulce de Leche 80 Gr.,,"$1.450,00",,18125.00KG,https://diaonline.supermercadosdia.com.ar/chocolate-dia-relleno-con-dulce-de-leche-80-gr-175800/p,https://ardiaprod.vtexassets.com/arquivos/ids/268104-500-auto?v=638322473520770000&width=500&height=auto&aspect=true
almacen,chocolates,,MILKA,Chocolate con Almendras Milka 155 Gr.,,"$4.940,00",,31870.97KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-almendras-milka-155-gr-224115/p,https://ardiaprod.vtexassets.com/arquivos/ids/294139-500-auto?v=638458626440330000&width=500&height=auto&aspect=true
almacen,chocolates,,DIA,Chocolate con leche DIA 80 Gr.,,"$1.450,00",,18125.00KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-leche-dia-80-gr-49329/p,https://ardiaprod.vtexassets.com/arquivos/ids/263900-500-auto?v=638322416082830000&width=500&height=auto&aspect=true
almacen,chocolates,,TIC TAC,Tic Tac Naranja 16 Gr.,,"$500,00",,31250.00KG,https://diaonline.supermercadosdia.com.ar/tic-tac-naranja-16-gr-72756/p,https://ardiaprod.vtexassets.com/arquivos/ids/264465-500-auto?v=638322424098600000&width=500&height=auto&aspect=true
almacen,chocolates,,DIA,Chocolate DIA Blanco 80 Gr.,,"$1.450,00",,18125.00KG,https://diaonline.supermercadosdia.com.ar/chocolate-dia-blanco-80-gr-70001/p,https://ardiaprod.vtexassets.com/arquivos/ids/264415-500-auto?v=638322423380200000&width=500&height=auto&aspect=true
